Очки,2-очк-3/В,2-очк-%,3-очк-3/В,3-очк-%,Штрафные-3/В,Штрафные-%,Подборы,Передачи,Фолы,Перехваты,Потери,Блокшоты,МИН,Очки прот.,2-очк-3/В прот.,2-очк-% прот.,3-очк-3/В прот.,3-очк-% прот.,Штрафные-3/В прот.,Штрафные-% прот.,Подборы прот.,Передачи прот.,Фолы прот.,Перехваты прот.,Потери прот.,Блокшоты прот.,Победа,Победа дома
67,16/39,41,8/20,40,11/14,79,27,14,19,5,13,1,200,82,27/45,60,6/15,40,10/15,67,32,22,20,7,8,7,0,0
89,19/37,51,13/32,41,12/17,71,31,24,20,14,13,2,194,63,24/49,49,1/18,6,12/13,92,41,25,16,6,20,3,1,1
95,33/63,52,4/15,27,17/23,74,42,20,24,5,12,2,218,91,25/50,50,8/22,36,17/24,71,38,20,26,9,13,3,1,1
95,20/35,57,10/23,43,25/27,93,29,18,20,5,10,4,166,84,32/59,54,2/17,12,14/15,93,31,14,25,4,11,2,1,1
99,32/48,67,6/19,32,17/20,85,40,19,18,9,13,7,196,70,24/57,42,5/23,22,7/9,78,33,12,21,6,15,1,1,1
92,22/44,50,10/21,48,18/20,90,28,20,20,7,8,3,196,85,27/47,57,5/18,28,16/19,84,34,20,20,2,14,2,1,1
81,15/37,41,9/19,47,24/32,75,32,19,25,4,10,1,196,78,19/41,46,7/25,28,19/28,68,35,13,28,5,10,2,1,1
114,30/48,63,10/20,50,24/26,92,36,23,20,9,4,3,195,51,11/32,34,4/22,18,17/22,77,28,11,22,2,20,3,0,1
77,17/38,45,10/24,42,13/16,81,36,20,21,6,11,3,195,75,23/50,46,6/25,24,11/21,52,36,26,19,4,10,4,1,1
82,19/46,41,6/18,33,26/31,84,29,16,21,6,14,3,194,108,29/44,66,13/30,43,11/15,73,45,28,26,6,12,4,1,0
89,28/52,54,6/18,33,15/21,71,35,20,18,9,11,3,193,73,16/37,43,11/23,48,8/11,73,27,14,22,7,18,2,1,1
82,26/48,54,6/19,32,12/18,67,44,15,21,5,10,3,197,71,23/45,51,6/26,23,7/13,54,32,17,18,7,9,2,1,1
75,19/45,42,7/26,27,16/19,84,33,16,28,11,13,1,195,76,18/35,51,6/19,32,22/35,63,38,19,20,7,17,4,0,0
86,25/38,66,8/20,40,12/13,92,24,25,24,9,8,0,195,67,22/40,55,3/20,15,14/19,74,34,11,20,3,15,1,1,1
85,19/39,49,9/23,39,20/29,69,39,21,17,10,9,1,195,80,20/45,44,11/24,46,7/9,78,31,16,24,7,14,2,1,1
81,20/50,40,9/19,47,14/16,88,38,14,22,7,4,4,195,73,18/40,45,8/16,50,13/21,62,32,16,18,0,12,0,1,1
77,14/32,44,10/22,45,19/32,59,36,17,22,3,10,9,200,71,15/34,44,9/22,41,14/23,61,26,16,31,5,8,2,1,1
99,28/44,64,10/20,50,13/21,62,35,32,19,9,7,0,195,79,22/40,55,8/19,42,11/18,61,18,18,21,5,12,1,1,1
82,26/56,46,4/9,44,18/25,72,38,18,21,5,14,3,200,83,17/33,52,12/27,44,13/18,72,26,16,24,5,15,4,0,0
81,24/43,56,4/18,22,21/25,84,47,17,22,5,14,1,195,70,22/46,48,4/18,22,14/24,58,27,21,20,6,9,7,1,1
102,29/47,62,9/25,36,17/22,77,40,19,23,6,10,2,194,79,18/35,51,10/23,43,13/22,59,27,11,24,5,18,1,0,1
96,28/52,54,7/15,47,19/22,86,30,25,24,10,5,2,195,86,26/42,62,8/25,32,10/17,59,33,16,22,4,17,1,1,1
96,20/41,49,8/17,47,32/36,89,31,23,20,10,19,4,196,87,29/53,55,4/19,21,17/17,100,33,23,27,9,20,5,1,1
73,14/31,45,10/28,36,15/21,71,33,16,19,6,12,4,196,66,22/49,45,2/9,22,16/18,89,31,12,24,4,14,1,1,1
73,21/41,51,7/18,39,10/15,67,31,14,20,3,11,1,200,78,18/39,46,8/26,31,18/22,82,36,13,23,5,10,2,0,0
92,21/41,51,11/25,44,17/24,71,38,22,19,6,16,1,200,79,22/40,55,8/26,31,11/12,92,28,13,24,8,12,1,1,1
94,24/44,55,10/21,48,16/20,80,41,23,22,9,15,4,200,76,16/40,40,9/26,35,17/21,81,32,18,20,4,14,4,1,1
70,12/33,36,10/22,45,16/20,80,33,16,20,13,13,3,195,71,14/31,45,10/20,50,13/18,72,25,11,22,8,20,4,0,0
78,24/49,49,8/21,38,6/7,86,39,17,17,9,11,5,200,60,16/36,44,5/29,17,13/13,100,38,14,18,7,14,4,1,1
75,13/32,41,11/30,37,16/26,62,40,14,30,6,13,1,195,71,19/47,40,3/12,25,24/28,86,33,11,26,7,9,1,1,1
91,28/56,50,5/18,28,20/23,87,37,18,24,9,11,4,225,85,14/44,32,12/25,48,21/25,84,37,12,25,4,19,3,1,1
74,18/41,44,11/25,44,5/6,83,18,19,20,6,8,3,200,95,28/41,68,7/15,47,18/21,86,32,28,18,6,13,3,0,0
100,28/46,61,10/22,45,14/18,78,31,23,27,10,13,1,200,81,19/33,58,7/20,35,22/30,73,22,12,24,8,19,2,0,1
81,17/31,55,10/25,40,17/22,77,20,22,18,8,13,3,200,76,31/55,56,0/13,0,14/19,74,37,16,24,7,16,2,1,1
95,25/45,56,7/16,44,24/29,83,33,20,22,5,10,4,196,88,23/44,52,8/17,47,18/19,95,26,17,27,5,9,1,1,1
62,14/39,36,8/15,53,10/11,91,31,11,18,6,17,1,195,81,20/30,67,12/28,43,5/7,71,24,22,16,10,9,1,0,0
81,19/40,48,8/22,36,19/23,83,37,20,16,11,10,7,200,54,10/35,29,8/20,40,10/13,77,29,14,22,5,18,3,1,1
67,17/40,43,7/24,29,12/18,67,27,20,29,14,13,4,196,70,13/36,36,7/27,26,23/34,68,47,14,18,8,21,5,0,0
79,24/48,50,6/18,33,13/17,76,31,21,26,6,14,1,200,83,19/37,51,9/21,43,18/24,75,34,17,21,5,17,3,0,0
83,24/37,65,6/23,26,17/24,71,37,22,22,4,17,4,195,98,21/35,60,11/24,46,23/27,85,28,25,27,10,10,2,0,0
63,17/39,44,6/17,35,11/16,69,36,21,20,1,12,4,196,65,21/46,46,2/17,12,17/20,85,35,10,21,4,10,1,0,0
85,24/45,53,7/16,44,16/19,84,29,20,24,6,11,3,195,93,22/35,63,11/21,52,16/26,62,27,25,18,4,14,1,0,0
92,25/44,57,7/21,33,21/25,84,37,23,12,14,12,5,200,51,14/33,42,6/24,25,5/6,83,27,17,24,9,22,3,1,1
67,21/43,49,3/19,16,16/16,100,29,12,19,4,12,1,196,87,19/37,51,12/24,50,13/15,87,33,19,22,5,11,2,0,0
58,19/42,45,4/13,31,8/12,67,33,11,19,3,22,1,195,97,28/49,57,10/21,48,11/14,79,24,28,17,13,8,4,0,0
