Сезон,Имя,Матчей,Выиграно,Проиграно,%побед,Забито,Пропущено,Разница,Побед дома,Побед в гостях
2015,ЦСКА,30,26,4,86.7,90.4,71.7,+18.7,13-2,13-2
2015,Химки,30,25,5,83.3,88.2,77.9,+10.4,14-1,11-4
2015,Локомотив-Кубань,30,23,7,76.7,86.1,74.7,+11.3,13-2,10-5
2015,Зенит,30,22,8,73.3,83.3,78.7,+4.6,12-3,10-5
2015,Пари Нижний Новгород,30,19,11,63.3,82.6,79.7,+3.0,10-5,9-6
2015,УНИКС,30,19,11,63.3,76.2,73.0,+3.3,12-3,7-8
2015,Автодор,30,17,13,56.7,90.6,88.3,+2.3,11-4,6-9
2015,Астана,30,13,17,43.3,79.5,81.9,-2.4,7-8,6-9
2015,Калев,30,13,17,43.3,77.4,86.2,-8.8,7-8,6-9
2015,ВЭФ,30,12,18,40.0,79.2,80.0,-0.9,5-10,7-8
2015,Енисей,30,10,20,33.3,85.6,88.4,-2.9,5-10,5-10
2015,Красный Октябрь,30,9,21,30.0,78.4,83.5,-5.1,5-10,4-11
2015,Байзонс,30,9,21,30.0,79.4,83.3,-3.9,5-10,4-11
2015,Нимбурк,30,9,21,30.0,79.9,83.6,-3.8,6-9,3-12
2015,Минск,30,7,23,23.3,78.2,88.8,-10.7,5-10,2-13
2015,Красные Крылья,30,7,23,23.3,68.7,83.8,-15.2,5-10,2-13
2016,ЦСКА,30,28,2,93.3,95.2,74.3,+20.9,14-1,14-1
2016,УНИКС,30,25,5,83.3,88.9,76.4,+12.4,13-2,12-3
2016,Зенит,30,23,7,76.7,88.9,79.1,+9.8,13-2,10-5
2016,Локомотив-Кубань,30,22,8,73.3,82.7,71.8,+10.9,13-2,9-6
2016,Химки,30,22,8,73.3,95.5,81.4,+14.1,12-3,10-5
2016,Автодор,30,20,10,66.7,88.7,80.3,+8.4,12-3,8-7
2016,Пари Нижний Новгород,30,17,13,56.7,84.1,83.9,+0.2,12-3,5-10
2016,Нимбурк,30,16,14,53.3,84.2,80.5,+3.7,10-5,6-9
2016,Красный Октябрь,30,12,18,40.0,85.6,87.9,-2.3,6-9,6-9
2016,ВЭФ,30,11,19,36.7,82.4,83.9,-1.5,5-10,6-9
